Aaliyah 1 10449 6 0 1
Abagail 55 10896 2 2 0
Abbey 35 14691 5 2 0
Abbie 31 11703 7 0 2
Abbigail 35 14837 4 0 2
Abby 24 14955 2 0 2
Abigail 42 11451 9 0 0
Abigale 66 11555 4 0 1
Abigayle 65 10119 2 0 2
Abril 56 10880 10 0 0
Addison 62 10528 1 0 0
Adeline 53 13905 6 0 1
Adriana 14 11965 10 2 1
Adrianna 93 10870 9 2 0
Adrienne 84 10518 9 2 1
Aileen 97 11237 8 1 0
Aimee 62 13685 9 1 1
Ainsley 39 13804 5 2 2
Aisha 85 13149 6 2 1
Aiyana 4 12218 10 1 1
Aja 74 14845 6 1 1
Akira 90 10963 10 1 0
Alaina 1 12115 10 2 1
Alana 53 11068 7 1 2
Alanis 33 13889 3 0 2
Alanna 76 14024 6 2 2
Alayna 75 14265 1 2 2
Aleah 21 11860 5 1 2
Alejandra 18 10244 2 0 0
Alena 78 12112 10 2 2
Alessandra 26 13936 8 2 0
Alex 11 12545 6 2 1
Alexa 18 11122 6 0 1
Alexandra 3 11484 6 1 0
Alexandrea 32 12508 4 2 1
Alexandria 46 10628 9 2 1
Alexia 9 10356 7 0 0
Alexis 73 10247 1 0 2
Alexus 34 11033 1 2 0
Alexys 4 14868 8 1 2
Alia 61 11557 9 2 0
Alice 92 13821 6 2 1
Alicia 48 11854 9 2 0
Alina 82 11435 10 2 2
Alisa 94 11932 4 2 1
Alisha 41 10350 3 2 1
Alison 77 13399 3 0 2
Alissa 90 10681 2 0 1
Alivia 93 13435 9 0 0
Aliya 32 14883 10 0 0
Aliyah 97 11046 2 0 1
Aliza 61 12871 7 0 1
Alize 78 12584 7 1 2
Allie 8 13407 8 2 0
Allison 18 10635 2 2 2
Ally 65 10822 9 1 1
Allyson 91 13385 5 1 0
Allyssa 46 13329 9 0 0
Alma 93 12979 3 0 0
Alondra 85 13768 5 2 0
Alycia 79 10332 2 1 2
Alysa 51 10137 8 0 1
Alysha 54 12111 2 2 2
Alyson 56 11030 10 1 2
Alyssa 27 13671 7 1 0
Amanda 43 14344 4 1 2
Amani 1 14550 7 0 2
Amara 26 10883 5 2 2
Amari 19 12036 3 2 2
Amaya 6 12205 6 0 1
Amber 2 10446 2 2 0
Amelia 61 11585 2 0 0
America 51 14473 7 0 1
Amina 89 12588 8 1 0
Amira 51 11462 6 2 0
Amy 19 12195 3 2 1
Amya 13 14975 9 2 1
Ana 74 12537 5 2 2
Anabel 29 10927 6 2 1
Anahi 36 12202 4 2 0
Anais 94 12721 7 0 1
Anastasia 80 10941 7 2 1
Anaya 13 11267 2 2 1
Andrea 23 12235 3 0 2
Angel 12 10696 6 2 0
Angela 90 13032 8 0 1
Angelica 84 13726 3 1 1
Angelina 93 10399 1 2 1
Angeline 79 12475 8 2 1
Angelique 12 13880 9 0 1
Angie 100 11900 8 2 1
Anika 5 10813 4 2 0
Anissa 49 10948 2 0 1
Anita 59 12528 10 1 2
Aniya 88 12666 10 0 0
Aniyah 37 11821 7 1 0
Anjali 79 12040 9 2 0
Ann 41 11108 4 1 1
Anna 30 14073 7 0 2
Annabel 96 10381 8 2 0
Annabella 21 13566 2 0 0
Annabelle 48 14939 3 2 1
Annalise 59 10096 1 0 1
Anne 1 14026 3 2 0
Annette 58 10844 8 1 2
Annie 76 11893 4 1 0
Annika 32 14609 7 0 0
Ansley 96 14111 10 1 2
Antonia 41 13294 7 0 0
Anya 78 11487 9 0 0
April 32 10991 6 2 2
Araceli 67 12232 5 2 1
Aracely 55 10816 1 2 1
Arely 71 14660 5 2 0
Aria 21 11494 6 1 0
Ariana 19 13677 4 0 1
Arianna 53 10853 6 1 1
Ariel 4 13726 9 2 0
Arielle 66 11642 8 2 0
Arlene 59 13537 2 1 0
Armani 8 11544 6 1 2
Aryanna 40 11749 10 1 2
Ashanti 69 10484 8 2 2
Ashlee 64 10530 7 2 0
Ashleigh 78 12499 4 1 1
Ashley 12 12895 4 1 0
Ashly 29 14185 10 0 0
Ashlyn 63 14685 2 2 1
Ashlynn 67 11990 5 2 0
Ashton 34 14968 10 1 0
Ashtyn 39 12109 5 1 1
Asia 52 11250 10 0 2
Aspen 88 10673 6 0 1
Astrid 45 13275 9 0 2
Athena 97 10624 6 0 0
Aubree 3 10646 3 0 2
Aubrey 83 12765 7 1 0
Aubrie 23 11937 10 0 1
Audrey 75 11559 9 2 2
Aurora 76 12095 2 2 0
Autumn 72 13895 7 0 2
Ava 23 13128 3 1 1
Avery 25 12871 5 2 2
Ayana 26 12804 6 2 0
Ayanna 71 10503 1 0 2
Ayla 97 11975 1 1 1
Aylin 68 13877 9 2 2
Baby 8 10318 5 2 1
Bailee 3 14536 5 1 1
Bailey 79 10713 10 1 2
Barbara 46 13800 3 0 1
Baylee 99 12337 3 2 0
Beatriz 94 14399 10 2 1
Belen 69 14568 6 2 0
Bella 67 10338 6 0 0
Berenice 43 10208 8 2 2
Bethany 33 10289 3 2 0
Bianca 80 10020 1 2 2
Blanca 57 12716 5 1 1
Brandi 49 13919 1 1 1
Brandy 85 12704 5 2 1
Breana 3 12372 7 1 2
Breanna 71 13001 6 0 1
Brenda 17 12601 1 0 2
Brenna 79 12286 10 0 1
Breonna 34 13907 6 1 1
Bria 84 11294 10 2 1
Briana 64 14429 3 2 1
Brianna 21 10220 4 2 2
Brianne 8 10014 3 2 0
Bridget 63 13656 7 1 0
Brielle 24 10276 4 0 2
Brionna 50 11988 9 0 0
Brisa 79 10796 10 2 1
Britney 61 13846 1 0 1
Brittany 78 12086 6 2 1
Brittney 35 11294 9 0 1
Brooke 58 10382 9 1 2
Brooklyn 32 12184 2 0 1
Brooklynn 83 14493 5 0 1
Bryana 17 13656 3 0 1
Bryanna 93 12161 8 1 0
Brynn 46 12616 2 2 0
Cadence 34 13970 6 2 1
Caitlin 53 14433 8 2 1
Caitlyn 15 10458 10 1 0
Cali 92 14775 7 0 0
Calista 18 13046 3 1 1
Callie 3 14430 9 1 0
Cameron 22 11793 9 1 2
Camila 59 12930 9 2 2
Camille 36 10491 10 1 0
Camryn 32 10182 7 1 2
Candace 34 11328 5 1 2
Candice 35 11639 4 1 0
Cara 83 11691 4 2 1
Carina 11 11603 10 1 1
Carissa 12 13709 4 1 2
Carla 68 11066 8 1 1
Carlee 59 12264 3 2 2
Carley 76 12778 3 0 0
Carli 13 12837 9 2 0
Carlie 74 12252 4 2 2
Carly 99 11462 4 1 0
Carmen 5 14285 4 1 0
Carol 65 14699 2 0 2
Carolina 68 12054 6 1 2
Caroline 98 12773 5 1 2
Carolyn 81 14517 5 2 1
Carrie 94 10097 3 0 0
Carson 15 13497 3 0 2
Casandra 67 12219 8 1 0
Casey 100 14397 8 1 2
Cassandra 24 10878 5 2 2
Cassidy 3 13593 10 1 0
Cassie 100 11738 2 2 0
Catalina 74 12389 8 0 2
Catherine 98 11329 7 2 2
Cayla 66 13724 8 0 0
Cecelia 36 14229 10 2 2
Cecilia 59 11003 8 1 0
Celeste 21 11276 2 2 1
Celia 73 11965 3 0 2
Celina 8 14896 6 1 0
Celine 5 13313 8 1 0
Chana 89 10332 2 2 1
Charity 64 11757 10 2 0
Charlotte 75 11063 6 1 1
Chasity 14 10026 6 0 2
Chaya 98 13655 2 1 2
Chelsea 4 13595 1 1 0
Chelsey 85 10567 10 1 1
Cheyanne 21 12894 10 0 1
Cheyenne 100 11983 3 2 1
Chloe 42 10315 6 2 2
Christa 30 12676 2 1 1
Christian 23 14000 5 0 2
Christiana 92 10757 7 1 1
Christina 18 10325 7 2 0
Christine 47 10930 5 0 2
Christy 11 11085 2 0 1
Ciara 53 12897 10 1 1
Ciera 50 12135 2 1 1
Cierra 49 11496 1 1 2
Cindy 47 11680 8 0 0
Citlali 34 11545 5 2 1
Claire 64 13005 1 2 2
Clara 80 13473 5 0 2
Clare 80 12435 10 2 2
Clarissa 14 12351 4 2 0
Claudia 7 12655 10 1 2
Colleen 5 10388 1 0 2
Cora 65 10360 4 1 1
Corinne 55 11175 1 2 0
Courtney 77 13883 9 2 1
Cristal 64 10462 10 2 0
